Device IP Address,Device Name,Device MAC Address,Device Network Adapter Company,Device User Full Name,Device Status,Company Name,Device Type,Device Port Number,Device Multiple Packet,Device Index,Device Location,Device Brand,Device Operating System,Device Cost Of Purchase ,Device's User Phone Number,Device's User Email Address,Device User Job Resumption Date,Device Working Status,Device Year Of Purchase
20.20.0.1,,08-55-31-55-5D-B2,Routerboard.com,,Unknown,,,,,,,,,,,,,,
20.20.0.14,VOLTAGE,64-6C-80-66-FB-CB,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",,Unknown,,,,,,,,,,,,,,
20.20.0.16,,52-28-B7-94-2D-10,,,Unknown,,,,,,,,,,,,,,
20.20.0.22,,48-A3-80-7D-7B-38,"Gionee Communication Equipment Co.,Ltd.",,Unknown,,,,,,,,,,,,,,
20.20.0.27,DESKTOP-7687TC8,20-10-7A-4E-9F-46,"Gemtek Technology Co., Ltd.",,Unknown,,,,,,,,,,,,,,
20.20.0.29,,20-26-81-A6-6B-B8,TECNO MOBILE LIMITED,,Unknown,,,,,,,,,,,,,,
20.20.0.39,,02-40-5D-62-63-A0,,,Unknown,,,,,,,,,,,,,,
20.20.0.53,,6C-6A-77-72-7B-D0,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.64,,50-E0-85-01-4E-2E,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.83,,E4-42-A6-0B-27-91,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.86,DESKTOP-2CPSS2P,44-85-00-A3-76-A9,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.121,,BC-61-93-38-E9-D3,,,Unknown,,,,,,,,,,,,,,
20.20.0.144,,A6-EC-72-30-36-07,,,Unknown,,,,,,,,,,,,,,
20.20.0.151,,BE-56-FB-E3-E1-36,,,Unknown,,,,,,,,,,,,,,
20.20.0.161,,6E-8B-A7-C7-55-9C,,,Unknown,,,,,,,,,,,,,,
20.20.0.167,DESKTOP-J8HCFAJ,E0-06-E6-8C-4B-2F,"Hon Hai Precision Ind. Co.,Ltd.",,Unknown,,,,,,,,,,,,,,
20.20.0.173,DESKTOP-73LO4RN,38-DE-AD-63-91-4C,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.191,,A4-34-D9-45-06-50,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.199,DESKTOP-0Q5RNT1,7C-4F-B5-F6-47-08,Arcadyan Technology Corporation,,Unknown,,,,,,,,,,,,,,
20.20.0.213,,6C-88-14-DE-11-88,Intel Corporate,,Unknown,,,,,,,,,,,,,,
20.20.0.231,,EC-5C-68-E2-24-9B,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",,Unknown,,,,,,,,,,,,,,
20.20.0.238,,E2-55-62-28-02-9B,,,Unknown,,,,,,,,,,,,,,
